collision_index,collision_year,collision_ref_no,vehicle_reference,casualty_reference,casualty_class,sex_of_casualty,age_of_casualty,age_band_of_casualty,casualty_severity,pedestrian_location,pedestrian_movement,car_passenger,bus_or_coach_passenger,pedestrian_road_maintenance_worker,casualty_type,casualty_imd_decile,lsoa_of_casualty,enhanced_casualty_severity,casualty_injury_based,casualty_adjusted_severity_serious,casualty_adjusted_severity_slight,casualty_distance_banding
2022351140977,2022,351140977,2,1,1,1,47,8,3,0,0,0,0,0,4,4,E01017947,3,1,0.0,1.0,-1
2024351531105,2024,351531105,1,1,1,1,18,4,3,0,0,0,0,0,9,10,E01018239,3,1,0.0,1.0,3
2024351438801,2024,351438801,1,1,1,1,37,7,3,0,0,0,0,0,9,3,E01015624,3,1,0.0,1.0,4
2020350952888,2020,350952888,2,1,1,1,21,5,3,0,0,0,0,0,1,9,E01018012,3,1,0.0,1.0,-1
2023351364984,2023,351364984,2,1,1,2,41,7,3,0,0,0,0,0,1,9,E01032792,3,1,0.0,1.0,-1
2021351058341,2021,351058341,1,1,1,1,48,8,2,0,0,0,0,0,5,8,E01018277,7,1,1.0,0.0,-1
2024351503437,2024,351503437,2,1,1,1,22,5,3,0,0,0,0,0,1,6,E01035517,3,1,0.0,1.0,1
2021351040569,2021,351040569,2,1,1,1,43,7,3,0,0,0,0,0,9,3,E01017978,3,1,0.0,1.0,-1
2020350978146,2020,350978146,2,1,1,1,22,5,3,0,0,0,0,0,1,3,E01017975,3,1,0.0,1.0,-1
2021351108829,2021,351108829,1,1,1,2,51,8,3,0,0,0,0,0,-1,5,E01030229,3,1,0.0,1.0,-1
2021351044911,2021,351044911,2,2,1,2,48,8,2,0,0,0,0,0,9,5,E01017972,7,1,1.0,0.0,-1
2021351111122,2021,351111122,1,1,1,1,55,8,3,0,0,0,0,0,1,10,E01018222,3,1,0.0,1.0,-1
2022351190215,2022,351190215,2,2,1,2,24,5,1,0,0,0,0,0,9,-1,-1,1,1,0.0,0.0,-1
2020350990230,2020,350990230,2,2,1,1,29,6,2,0,0,0,0,0,9,5,E01033454,7,1,1.0,0.0,-1
2021351068398,2021,351068398,1,1,2,1,-1,-1,3,0,0,2,0,0,9,8,E01017987,3,1,0.0,1.0,-1
2022351226765,2022,351226765,1,1,3,2,28,6,3,6,9,0,0,0,0,9,E01018006,3,1,0.0,1.0,-1
2020350973772,2020,350973772,2,1,1,2,26,6,3,0,0,0,0,0,1,8,E01017984,3,1,0.0,1.0,-1
2022351249266,2022,351249266,1,3,2,2,86,11,1,0,0,1,0,0,9,6,E01017961,1,1,0.0,0.0,-1
2020350982387,2020,350982387,2,2,1,1,17,4,3,0,0,0,0,0,1,9,E01017998,3,1,0.0,1.0,-1
2022351236915,2022,351236915,2,1,1,1,43,7,3,0,0,0,0,0,1,6,E01017951,3,1,0.0,1.0,-1
2023351319447,2023,351319447,1,1,1,2,41,7,3,0,0,0,0,0,9,10,E01018272,3,1,0.0,1.0,-1
2021351090539,2021,351090539,1,1,1,2,37,7,2,0,0,0,0,0,5,4,E01015798,5,1,1.0,0.0,-1
2024351481410,2024,351481410,1,1,1,1,52,8,2,0,0,0,0,0,-1,5,E01026693,7,1,1.0,0.0,4
2024351437775,2024,351437775,2,1,1,1,24,5,3,0,0,0,0,0,1,7,E01017989,3,1,0.0,1.0,1
2022351151435,2022,351151435,1,1,1,2,33,6,3,0,0,0,0,0,9,9,E01018278,3,1,0.0,1.0,-1
2022351145934,2022,351145934,2,1,1,2,72,10,3,0,0,0,0,0,9,8,E01022077,3,1,0.0,1.0,-1
2021351066202,2021,351066202,2,1,1,1,47,8,2,0,0,0,0,0,1,9,E01017998,6,1,1.0,0.0,-1
2022351200576,2022,351200576,2,1,1,1,46,8,3,0,0,0,0,0,1,10,E01017959,3,1,0.0,1.0,-1
2021351053835,2021,351053835,1,1,1,1,78,11,3,0,0,0,0,0,9,7,E01017980,3,1,0.0,1.0,-1
2020350967375,2020,350967375,1,2,2,2,6,2,3,0,0,2,0,0,9,4,E01017947,3,1,0.0,1.0,-1
2023351316813,2023,351316813,2,1,1,1,71,10,3,0,0,0,0,0,19,4,E01018062,3,1,0.0,1.0,-1
2020350935422,2020,350935422,1,1,3,1,22,5,2,1,3,0,0,0,0,9,E01017958,7,1,1.0,0.0,-1
2022351161723,2022,351161723,1,1,1,2,27,6,3,0,0,0,0,0,1,9,E01018006,3,1,0.0,1.0,-1
2023351311382,2023,351311382,1,1,3,2,86,11,3,10,1,0,0,0,0,2,E01017948,3,1,0.0,1.0,-1
2022351130681,2022,351130681,2,1,1,1,26,6,3,0,0,0,0,0,9,9,E01018307,3,1,0.0,1.0,-1
2023351321897,2023,351321897,1,2,1,1,22,5,3,0,0,0,0,0,1,3,E01017977,3,1,0.0,1.0,-1
2022351253569,2022,351253569,1,1,1,1,26,6,2,0,0,0,0,0,1,6,E01017967,7,1,1.0,0.0,-1
2020350953930,2020,350953930,2,2,1,1,48,8,2,0,0,0,0,0,9,10,E01018244,7,1,1.0,0.0,-1
2020350944841,2020,350944841,1,1,1,1,71,10,3,0,0,0,0,0,9,10,E01010774,3,1,0.0,1.0,-1
2020351035584,2020,351035584,2,3,2,1,14,3,2,0,0,0,0,0,4,2,E01017946,7,1,1.0,0.0,-1
2024351424470,2024,351424470,1,3,2,2,30,6,3,0,0,1,0,0,9,5,E01017947,3,1,0.0,1.0,1
2020351013251,2020,351013251,2,1,1,1,42,7,2,0,0,0,0,0,1,9,E01017968,7,1,1.0,0.0,-1
2020350999853,2020,350999853,2,1,1,2,27,6,3,0,0,0,0,0,1,7,E01017963,3,1,0.0,1.0,-1
2024351535759,2024,351535759,2,1,1,1,55,8,2,0,0,0,0,0,1,6,E01002020,6,1,1.0,0.0,4
2021351048855,2021,351048855,1,1,1,2,84,11,3,0,0,0,0,0,9,8,E01018224,3,1,0.0,1.0,-1
2021351105937,2021,351105937,1,1,3,1,22,5,2,5,1,0,0,0,0,7,E01018255,7,1,1.0,0.0,-1
2022351245746,2022,351245746,2,1,1,1,25,5,3,0,0,0,0,0,1,9,E01017958,3,1,0.0,1.0,-1
2024351400290,2024,351400290,2,1,1,1,37,7,3,0,0,0,0,0,1,5,E01017973,3,1,0.0,1.0,1
2021351075516,2021,351075516,2,1,1,2,37,7,3,0,0,0,0,0,9,6,E01017973,3,1,0.0,1.0,-1
2023351387762,2023,351387762,2,2,2,2,3,1,3,0,0,-1,0,0,9,9,E01032611,3,1,0.0,1.0,-1
2022351224157,2022,351224157,2,1,1,2,39,7,2,0,0,0,0,0,1,10,E01017955,7,1,1.0,0.0,-1
2023351337418,2023,351337418,1,1,3,1,4,1,3,5,1,0,0,0,0,7,E01018002,3,1,0.0,1.0,-1
